url	Project	Assembly	Type	Biosource	Assay	Replicate	Dataset	Description	Lab	Publications	Accession	Experiment	name	color	altColor
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3be17688-cbce-4ef9-9b94-8571c20a858e/4DNFI916JQ1Y.hic	4DN	GRCm38	contact matrix	cerebellar granule neuron - 14 days old	MboI	merged replicates	Hi-C on mouse cerebellar granule neurons		Tomoko Yamada, NW		4DNFI916JQ1Y	DNESDADW6RV		rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/bad90d57-68ae-441f-84b6-3da0e4b3f1b7/4DNFI5R1ECZI.hic	4DN	GRCm38	contact matrix	cerebellar granule neuron - 14 days old	MboI	merged replicates	Hi-C on mouse cerebellar granule neurons		Tomoko Yamada, NW		4DNFI5R1ECZI	DNESRAGM5JU		rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/0c9136d9-4c29-4a5e-bc0e-3e43e12caceb/4DNFI73VMJI7.bw	4DN	GRCm38	compartments	cerebellar granule neuron - 14 days old	MboI	merged replicates	Hi-C on mouse cerebellar granule neurons		Tomoko Yamada, NW		4DNFI73VMJI7	DNESRAGM5JU	compartments for cerebellar granule neuron - 14 days old in situ Hi-C MboI	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/78d90bcc-64c1-40c4-83bf-39f981f7d6d4/4DNFISUPDO3A.hic	4DN	GRCm38	contact matrix	cerebellar granule neuron - 14 days old	MboI	merged replicates	Hi-C on mouse cerebellar granule neurons		Tomoko Yamada, NW		4DNFISUPDO3A	DNESHWXNLB4		rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/c16b5fd8-b0a0-4daa-915f-dea88d56b95d/4DNFIMV6MPGH.hic	4DN	GRCm38	contact matrix	cerebellar granule neuron - 14 days old	MboI	merged replicates	Hi-C on mouse cerebellar granule neurons		Tomoko Yamada, NW		4DNFIMV6MPGH	DNESLM6T5VF		rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/fe25da0b-0e94-426f-9e5c-25ea7ac560dc/4DNFI111EI3K.hic	4DN	GRCm38	contact matrix	cerebellar granule neuron - 14 days old	MboI	merged replicates	Hi-C on mouse cerebellar granule neurons		Tomoko Yamada, NW		4DNFI111EI3K	DNES4TZF88L		rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3eadb16b-e809-4a38-b9f9-5971733d7284/4DNFILX4NRCB.bw	4DN	GRCm38	compartments	cerebellar granule neuron - 14 days old	MboI	merged replicates	Hi-C on mouse cerebellar granule neurons		Tomoko Yamada, NW		4DNFILX4NRCB	DNES4TZF88L	compartments for cerebellar granule neuron - 14 days old in situ Hi-C MboI	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/6db70d70-1248-4ef1-b734-247d39ce3a5a/4DNFIVWXJQR1.hic	4DN	GRCm38	contact matrix	mature cerebellar granule neuron - PND11	MboI	merged replicates	Hi-C on mouse cerebellar granule neurons - developmental series		Tomoko Yamada, NW	Scrutton Alvarado NJ et al. (2025) PMID:40353744	4DNFIVWXJQR1	DNESHMCEWL6		rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/16185ab1-08f2-4bb5-893e-a97d4d2915d9/4DNFIFJ72Q5W.bw	4DN	GRCm38	compartments	mature cerebellar granule neuron - PND11	MboI	merged replicates	Hi-C on mouse cerebellar granule neurons - developmental series		Tomoko Yamada, NW	Scrutton Alvarado NJ et al. (2025) PMID:40353744	4DNFIFJ72Q5W	DNESHMCEWL6	compartments for mature cerebellar granule neuron - PND11 in situ Hi-C MboI	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d78eccb6-9ef6-45ee-8fda-9fd6ba3f761c/4DNFI625SP3A.bed.gz	4DN	GRCm38	boundaries	mature cerebellar granule neuron - PND11	MboI	merged replicates	Hi-C on mouse cerebellar granule neurons - developmental series		Tomoko Yamada, NW	Scrutton Alvarado NJ et al. (2025) PMID:40353744	4DNFI625SP3A	DNESHMCEWL6	boundaries for mature cerebellar granule neuron - PND11 in situ Hi-C MboI	rgb(0, 150, 0)	rgb(0, 150, 0)
