url	Project	Assembly	Type	Biosource	Assay	Replicate	Dataset	Description	Lab	Publications	Accession	Experiment	name	color	altColor
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/59bc54e6-ec9c-4b47-926e-2772bb1db893/4DNFIKX7HB55.bed.gz	External	galGal5	boundaries	DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption	HindIII	merged replicates	HiC on sync. CAPH2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIKX7HB55	DNESKM5UQ2L	boundaries for DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption Dilution Hi-C HindIII	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/2ac23f87-74e0-4f5d-8168-3c1a8dce9a4c/4DNFIHX9B1C2.bw	External	galGal5	insulation score-diamond	DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption	HindIII	merged replicates	HiC on sync. CAPH2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIHX9B1C2	DNESKM5UQ2L	insulation score-diamond for DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption Dilution Hi-C HindIII	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1125e7e7-7d6e-4666-a9ae-e7e8a1b16e8b/4DNFI43LVXNL.bw	External	galGal5	compartments	DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption	HindIII	merged replicates	HiC on sync. CAPH2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFI43LVXNL	DNESKM5UQ2L	compartments for DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption Dilution Hi-C HindIII	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8a3cea91-012a-4a1a-b6a4-d281c561820a/4DNFI1YLZQ9S.bed.gz	External	galGal5	boundaries	DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption	HindIII	merged replicates	HiC on sync. CAPH2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFI1YLZQ9S	DNES1MGX3LX	boundaries for DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption Dilution Hi-C HindIII	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7949cefb-7219-4565-9715-ac4cac057a25/4DNFICZ78JG1.bw	External	galGal5	insulation score-diamond	DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption	HindIII	merged replicates	HiC on sync. CAPH2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFICZ78JG1	DNES1MGX3LX	insulation score-diamond for DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption Dilution Hi-C HindIII	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/303f2422-d97c-4a0c-84fe-1398c1f8f876/4DNFIEOCLME6.bw	External	galGal5	compartments	DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption	HindIII	merged replicates	HiC on sync. CAPH2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIEOCLME6	DNES1MGX3LX	compartments for DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption Dilution Hi-C HindIII	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/99fb3b1e-679b-40e2-8ca3-51eb1dc3c97d/4DNFISUX43G2.bed.gz	External	galGal5	boundaries	DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption	HindIII	merged replicates	HiC on sync. CAPH2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFISUX43G2	DNES6FARLK8	boundaries for DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption Dilution Hi-C HindIII	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/75784f00-65d6-41c4-91b7-98410bf27428/4DNFI2BTCVPF.bw	External	galGal5	insulation score-diamond	DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption	HindIII	merged replicates	HiC on sync. CAPH2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFI2BTCVPF	DNES6FARLK8	insulation score-diamond for DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption Dilution Hi-C HindIII	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b90d7ef2-5a8d-45c9-b3cd-95d9542f80a8/4DNFIGPB3VEA.bw	External	galGal5	compartments	DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption	HindIII	merged replicates	HiC on sync. CAPH2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIGPB3VEA	DNES6FARLK8	compartments for DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption Dilution Hi-C HindIII	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1e4906c8-1c08-4c6a-9e84-a38020810852/4DNFIPCIY5MY.bed.gz	External	galGal5	boundaries	DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption	HindIII	merged replicates	HiC on sync. CAPH2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIPCIY5MY	DNES3CEBN3H	boundaries for DT40 with random integration of GFP and AID-tagged CAP-H2 gene, NCAPH2 disruption, random integration of X. laevis Cdk1, CDK1 disruption Dilution Hi-C HindIII	rgb(0, 150, 0)	rgb(0, 150, 0)
