url	Project	Assembly	Biosource	Assay	Replicate	Dataset	Description	Lab	Publications	Accession	Experiment
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/6db70d70-1248-4ef1-b734-247d39ce3a5a/4DNFIVWXJQR1.hic	4DN	GRCm38	mature cerebellar granule neuron - PND11	MboI	merged replicates	Hi-C on mouse cerebellar granule neurons - developmental series		Tomoko Yamada, NW	Scrutton Alvarado NJ et al. (2025) PMID:40353744	4DNFIVWXJQR1	DNESHMCEWL6
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3ad46cc4-505e-4a5d-9dee-e8d362f73a9c/4DNFI14FXOOU.hic	4DN	GRCm38	immature cerebellar granule neuron - PND11	MboI	merged replicates	Hi-C on mouse cerebellar granule neurons - developmental series		Tomoko Yamada, NW	Scrutton Alvarado NJ et al. (2025) PMID:40353744	4DNFI14FXOOU	DNESTQRWC2G
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/2334c531-2d0b-46b3-98c6-c7ed35b9f20d/4DNFIS1SRPWR.hic	4DN	GRCm38	immature cerebellar granule neuron - PND6	MboI	merged replicates	Hi-C on mouse cerebellar granule neurons - developmental series		Tomoko Yamada, NW	Scrutton Alvarado NJ et al. (2025) PMID:40353744	4DNFIS1SRPWR	DNESJQCDUN1
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/32278b04-8c3a-4111-9992-1a40a7139731/4DNFI8LDZDN9.hic	4DN	GRCm38	mitotic cerebellar granule neuron precursor - PND6	MboI	merged replicates	Hi-C on mouse cerebellar granule neurons - developmental series		Tomoko Yamada, NW	Scrutton Alvarado NJ et al. (2025) PMID:40353744	4DNFI8LDZDN9	DNESQPARDTJ
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a844f39f-3aa7-4e21-ba09-7683e1d91ab2/4DNFIH1NZ1M8.hic	4DN	GRCh38	WTC-11 differentiated to cardiac muscle cell	DdeI and DpnII	merged replicates	Hi-C on WTC-11 differentiated to cardiac muscle cell		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFIH1NZ1M8	DNESW7WYVHO
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3e727bd0-bab5-484e-8fdc-54a4a666d2ab/4DNFIK9TW97H.hic	4DN	GRCh38	WTC-11 differentiated to cardiac muscle cell	DdeI and DpnII	merged replicates	Hi-C on WTC-11 differentiated to cardiac muscle cell		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFIK9TW97H	DNES4NO6DRP
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/5a84c606-1f3d-47c5-9be3-8112144cd5dd/4DNFI7ST3KR1.hic	4DN	GRCh38	WTC-11 differentiated to cardiac muscle cell	DdeI and DpnII	merged replicates	Hi-C on WTC-11 differentiated to cardiac muscle cell		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFI7ST3KR1	DNES9ZDUTHD
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d2a326a8-1f3f-4acc-8b9b-a449a2cdd7a0/4DNFIIMDXANO.hic	4DN	GRCh38	WTC-11 differentiated to cardiac muscle cell	DdeI and DpnII	merged replicates	Hi-C on WTC-11 cardiac differention timecourse		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFIIMDXANO	DNESDVZJW63
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ede4b21a-1f17-43d1-970f-ac874ef01bb0/4DNFIXF2GL4C.hic	4DN	GRCh38	WTC-11 differentiated to cardiac muscle cell	DdeI and DpnII	merged replicates	Hi-C on WTC-11 cardiac differention timecourse		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFIXF2GL4C	DNES7CDN1M9
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/c4812c8a-74ac-4ee9-ac9e-abf5abd59318/4DNFI8I2WYXS.hic	4DN	GRCh38	WTC-11 differentiated to primitive cardiac myocyte	DdeI and DpnII	merged replicates	Hi-C on WTC-11 cardiac differention timecourse		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFI8I2WYXS	DNES7R8BYB1
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a9ad9939-6297-48c4-a6a7-5fad70ddeb2c/4DNFI7C5YXNX.hic	4DN	GRCh38	WTC-11 differentiated to cardiogenic mesoderm	DdeI and DpnII	unreplicated	Hi-C on WTC-11 cardiac differention timecourse		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFI7C5YXNX	DNESNRK4ZL7
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1cb2e17f-58aa-4b2a-92f4-a6fb53654f1c/4DNFI1P2EP7L.hic	4DN	GRCh38	WTC-11 differentiated to cardiogenic mesoderm	DdeI and DpnII	unreplicated	Hi-C on WTC-11 cardiac differention timecourse		Benoit Bruneau, UCSF	Grant ZL et al. (2025) PMID:39829922	4DNFI1P2EP7L	DNES4P4UOAZ
