ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR591SNM/	GRCh38	Homo sapiens heart right ventricle tissue male adult (40 years)	HiC		1	1_1,1_2	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF684FXD/@@download/ENCFF684FXD.hic	ENCFF684FXD	ENCSR591SNM
/experiments/ENCSR591SNM/	GRCh38	Homo sapiens heart right ventricle tissue male adult (40 years)	HiC		1	1_1,1_2	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF782WVZ/@@download/ENCFF782WVZ.hic	ENCFF782WVZ	ENCSR591SNM
/experiments/ENCSR591SNM/	GRCh38	Homo sapiens heart right ventricle tissue male adult (40 years)	HiC		1	1_1,1_2	haplotype-specific contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF403AED/@@download/ENCFF403AED.hic	ENCFF403AED	ENCSR591SNM
/experiments/ENCSR591SNM/	GRCh38	Homo sapiens heart right ventricle tissue male adult (40 years)	HiC		1	1_1,1_2	haplotype-specific contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF715JVN/@@download/ENCFF715JVN.hic	ENCFF715JVN	ENCSR591SNM
/experiments/ENCSR180DXE/	GRCh38	Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens SMARCA5 treated with 1 μM 5-Phenyl-1H-indole-3-acetic acid for 6 hours	ChIA-PET	POLR2A 	1	1_1	contact matrix	hic	Charles Lee	/files/ENCFF770KUI/@@download/ENCFF770KUI.hic	ENCFF770KUI	ENCSR180DXE
/experiments/ENCSR525OAV/	GRCh38	Homo sapiens GM23943	HiC		1	1_1	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF583JWD/@@download/ENCFF583JWD.hic	ENCFF583JWD	ENCSR525OAV
/experiments/ENCSR525OAV/	GRCh38	Homo sapiens GM23943	HiC		1	1_1	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF842HPW/@@download/ENCFF842HPW.hic	ENCFF842HPW	ENCSR525OAV
/experiments/ENCSR525OAV/	GRCh38	Homo sapiens GM23943	HiC		1	1_2	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF615TSH/@@download/ENCFF615TSH.hic	ENCFF615TSH	ENCSR525OAV
/experiments/ENCSR525OAV/	GRCh38	Homo sapiens GM23943	HiC		1	1_2	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF675TLL/@@download/ENCFF675TLL.hic	ENCFF675TLL	ENCSR525OAV
/experiments/ENCSR525OAV/	GRCh38	Homo sapiens GM23943	HiC		1	1_3	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF968VWL/@@download/ENCFF968VWL.hic	ENCFF968VWL	ENCSR525OAV
/experiments/ENCSR525OAV/	GRCh38	Homo sapiens GM23943	HiC		1	1_3	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF029OIB/@@download/ENCFF029OIB.hic	ENCFF029OIB	ENCSR525OAV
/experiments/ENCSR525OAV/	GRCh38	Homo sapiens GM23943	HiC		1	1_4	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF662KPI/@@download/ENCFF662KPI.hic	ENCFF662KPI	ENCSR525OAV
/experiments/ENCSR525OAV/	GRCh38	Homo sapiens GM23943	HiC		1	1_4	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF950FIN/@@download/ENCFF950FIN.hic	ENCFF950FIN	ENCSR525OAV
/experiments/ENCSR312GVF/	GRCh38	Homo sapiens GM12878	HiC		1	1_9	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF594RDI/@@download/ENCFF594RDI.hic	ENCFF594RDI	ENCSR312GVF
/experiments/ENCSR312GVF/	GRCh38	Homo sapiens GM12878	HiC		1	1_1	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF610SVR/@@download/ENCFF610SVR.hic	ENCFF610SVR	ENCSR312GVF
/experiments/ENCSR312GVF/	GRCh38	Homo sapiens GM12878	HiC		1	1_1	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF373TNZ/@@download/ENCFF373TNZ.hic	ENCFF373TNZ	ENCSR312GVF
