ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR000BGC/	GRCh38	Homo sapiens GM12878	ChIP-seq	GABPA 	2	2_1	signal p-value	bigWig	Richard Myers, HAIB	/files/ENCFF125GYW/@@download/ENCFF125GYW.bigWig	ENCFF125GYW	ENCSR000BGC
/experiments/ENCSR000BGC/	GRCh38	Homo sapiens GM12878	ChIP-seq	GABPA 	1	1_1	signal p-value	bigWig	Richard Myers, HAIB	/files/ENCFF986FBL/@@download/ENCFF986FBL.bigWig	ENCFF986FBL	ENCSR000BGC
/experiments/ENCSR000BGC/	GRCh38	Homo sapiens GM12878	ChIP-seq	GABPA 	1,2	1_1,2_1	signal p-value	bigWig	Richard Myers, HAIB	/files/ENCFF746GNX/@@download/ENCFF746GNX.bigWig	ENCFF746GNX	ENCSR000BGC
/experiments/ENCSR000BGC/	GRCh38	Homo sapiens GM12878	ChIP-seq	GABPA 	1	1_1	fold change over control	bigWig	Richard Myers, HAIB	/files/ENCFF796JWG/@@download/ENCFF796JWG.bigWig	ENCFF796JWG	ENCSR000BGC
/experiments/ENCSR000BGC/	GRCh38	Homo sapiens GM12878	ChIP-seq	GABPA 	2	2_1	fold change over control	bigWig	Richard Myers, HAIB	/files/ENCFF788JVF/@@download/ENCFF788JVF.bigWig	ENCFF788JVF	ENCSR000BGC
/experiments/ENCSR000BGC/	GRCh38	Homo sapiens GM12878	ChIP-seq	GABPA 	1,2	1_1,2_1	fold change over control	bigWig	Richard Myers, HAIB	/files/ENCFF074JGW/@@download/ENCFF074JGW.bigWig	ENCFF074JGW	ENCSR000BGC
/experiments/ENCSR000BJM/	GRCh38	Homo sapiens HepG2	ChIP-seq	POLR2A 	1	1_1	signal p-value	bigWig	Richard Myers, HAIB	/files/ENCFF836RED/@@download/ENCFF836RED.bigWig	ENCFF836RED	ENCSR000BJM
/experiments/ENCSR000BJM/	GRCh38	Homo sapiens HepG2	ChIP-seq	POLR2A 	2	2_1	signal p-value	bigWig	Richard Myers, HAIB	/files/ENCFF933QQE/@@download/ENCFF933QQE.bigWig	ENCFF933QQE	ENCSR000BJM
/experiments/ENCSR000BJM/	GRCh38	Homo sapiens HepG2	ChIP-seq	POLR2A 	1,2	1_1,2_1	signal p-value	bigWig	Richard Myers, HAIB	/files/ENCFF276SWJ/@@download/ENCFF276SWJ.bigWig	ENCFF276SWJ	ENCSR000BJM
/experiments/ENCSR000BJM/	GRCh38	Homo sapiens HepG2	ChIP-seq	POLR2A 	1	1_1	fold change over control	bigWig	Richard Myers, HAIB	/files/ENCFF481ONN/@@download/ENCFF481ONN.bigWig	ENCFF481ONN	ENCSR000BJM
/experiments/ENCSR000BJM/	GRCh38	Homo sapiens HepG2	ChIP-seq	POLR2A 	2	2_1	fold change over control	bigWig	Richard Myers, HAIB	/files/ENCFF364GBS/@@download/ENCFF364GBS.bigWig	ENCFF364GBS	ENCSR000BJM
/experiments/ENCSR000BJM/	GRCh38	Homo sapiens HepG2	ChIP-seq	POLR2A 	1,2	1_1,2_1	fold change over control	bigWig	Richard Myers, HAIB	/files/ENCFF378NKG/@@download/ENCFF378NKG.bigWig	ENCFF378NKG	ENCSR000BJM
