ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR000CUD/	GRCh38	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		2	2_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF055RMG/@@download/ENCFF055RMG.bigWig	ENCFF055RMG	ENCSR000CUD
/experiments/ENCSR000CUD/	GRCh38	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		2	2_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF287HNY/@@download/ENCFF287HNY.bigWig	ENCFF287HNY	ENCSR000CUD
/experiments/ENCSR000CUD/	GRCh38	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		1	1_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF251KGU/@@download/ENCFF251KGU.bigWig	ENCFF251KGU	ENCSR000CUD
/experiments/ENCSR000CUD/	GRCh38	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		1	1_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF286ALC/@@download/ENCFF286ALC.bigWig	ENCFF286ALC	ENCSR000CUD
/experiments/ENCSR000CUD/	GRCh38	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		2	2_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF673DFK/@@download/ENCFF673DFK.bigWig	ENCFF673DFK	ENCSR000CUD
/experiments/ENCSR000CUD/	GRCh38	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		1	1_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF816PBJ/@@download/ENCFF816PBJ.bigWig	ENCFF816PBJ	ENCSR000CUD
/experiments/ENCSR000CUD/	GRCh38	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		1	1_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF195EKF/@@download/ENCFF195EKF.bigWig	ENCFF195EKF	ENCSR000CUD
/experiments/ENCSR000CUD/	GRCh38	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		2	2_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF533SSV/@@download/ENCFF533SSV.bigWig	ENCFF533SSV	ENCSR000CUD
/experiments/ENCSR000CUD/	GRCh38	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		1	1_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF359MTP/@@download/ENCFF359MTP.bigWig	ENCFF359MTP	ENCSR000CUD
/experiments/ENCSR000CUD/	GRCh38	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		1	1_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF704SYP/@@download/ENCFF704SYP.bigWig	ENCFF704SYP	ENCSR000CUD
