ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR791IKU/	ce10	Caenorhabditis elegans strain YL489 (unc-119(ed3) III; vrIs104 [pPIE-1::AMA-1:GFP:FLAG::PUF-5 3'UTR, unc-119 (+)]) whole organism young adult genetically modified (insertion) using bombardment targeting C. elegans ama-1	ChIP-seq	ama-1 (Caenorhabditis elegans)	1,2	1_1,2_1	peaks and background as input for IDR	bigBed	Michael Snyder, Stanford	/files/ENCFF081GNI/@@download/ENCFF081GNI.bigBed	ENCFF081GNI	ENCSR791IKU
/experiments/ENCSR791IKU/	ce10	Caenorhabditis elegans strain YL489 (unc-119(ed3) III; vrIs104 [pPIE-1::AMA-1:GFP:FLAG::PUF-5 3'UTR, unc-119 (+)]) whole organism young adult genetically modified (insertion) using bombardment targeting C. elegans ama-1	ChIP-seq	ama-1 (Caenorhabditis elegans)	1,2	1_1,2_1	optimal IDR thresholded peaks	bigBed	Michael Snyder, Stanford	/files/ENCFF821KNB/@@download/ENCFF821KNB.bigBed	ENCFF821KNB	ENCSR791IKU
/experiments/ENCSR791IKU/	ce10	Caenorhabditis elegans strain YL489 (unc-119(ed3) III; vrIs104 [pPIE-1::AMA-1:GFP:FLAG::PUF-5 3'UTR, unc-119 (+)]) whole organism young adult genetically modified (insertion) using bombardment targeting C. elegans ama-1	ChIP-seq	ama-1 (Caenorhabditis elegans)	1	1_1	peaks and background as input for IDR	bigBed	Michael Snyder, Stanford	/files/ENCFF369AWF/@@download/ENCFF369AWF.bigBed	ENCFF369AWF	ENCSR791IKU
/experiments/ENCSR791IKU/	ce10	Caenorhabditis elegans strain YL489 (unc-119(ed3) III; vrIs104 [pPIE-1::AMA-1:GFP:FLAG::PUF-5 3'UTR, unc-119 (+)]) whole organism young adult genetically modified (insertion) using bombardment targeting C. elegans ama-1	ChIP-seq	ama-1 (Caenorhabditis elegans)	2	2_1	peaks and background as input for IDR	bigBed	Michael Snyder, Stanford	/files/ENCFF684XAW/@@download/ENCFF684XAW.bigBed	ENCFF684XAW	ENCSR791IKU
/experiments/ENCSR541RUY/	ce10	Caenorhabditis elegans strain OP658 (unc-119(tm4063) III; wgIs658) whole organism young adult 63 hours post synchronization at L1 larva starved after bleaching stage genetically modified (insertion) using bombardment targeting C. elegans F10E7.11	ChIP-seq	F10E7.11 (Caenorhabditis elegans)	1	1_1	peaks and background as input for IDR	bigBed	Valerie Reinke, Yale	/files/ENCFF141VKB/@@download/ENCFF141VKB.bigBed	ENCFF141VKB	ENCSR541RUY
/experiments/ENCSR541RUY/	ce10	Caenorhabditis elegans strain OP658 (unc-119(tm4063) III; wgIs658) whole organism young adult 63 hours post synchronization at L1 larva starved after bleaching stage genetically modified (insertion) using bombardment targeting C. elegans F10E7.11	ChIP-seq	F10E7.11 (Caenorhabditis elegans)	2	2_1	peaks and background as input for IDR	bigBed	Valerie Reinke, Yale	/files/ENCFF280RBJ/@@download/ENCFF280RBJ.bigBed	ENCFF280RBJ	ENCSR541RUY
/experiments/ENCSR541RUY/	ce10	Caenorhabditis elegans strain OP658 (unc-119(tm4063) III; wgIs658) whole organism young adult 63 hours post synchronization at L1 larva starved after bleaching stage genetically modified (insertion) using bombardment targeting C. elegans F10E7.11	ChIP-seq	F10E7.11 (Caenorhabditis elegans)	1,2	1_1,2_1	peaks and background as input for IDR	bigBed	Valerie Reinke, Yale	/files/ENCFF874XEH/@@download/ENCFF874XEH.bigBed	ENCFF874XEH	ENCSR541RUY
/experiments/ENCSR541RUY/	ce10	Caenorhabditis elegans strain OP658 (unc-119(tm4063) III; wgIs658) whole organism young adult 63 hours post synchronization at L1 larva starved after bleaching stage genetically modified (insertion) using bombardment targeting C. elegans F10E7.11	ChIP-seq	F10E7.11 (Caenorhabditis elegans)	1,2	1_1,2_1	optimal IDR thresholded peaks	bigBed	Valerie Reinke, Yale	/files/ENCFF124WGI/@@download/ENCFF124WGI.bigBed	ENCFF124WGI	ENCSR541RUY
/experiments/ENCSR733FVS/	ce10	Caenorhabditis elegans strain YL503 (unc-119(ed3) III; vrIs110 [pPIE-1::AMA-1:GFP:FLAG::AMA-1 3'UTR, unc-119 (+)]) whole organism young adult genetically modified (insertion) using bombardment targeting C. elegans ama-1	ChIP-seq	ama-1 (Caenorhabditis elegans)	1	1_1	peaks and background as input for IDR	bigBed	Michael Snyder, Stanford	/files/ENCFF305TBS/@@download/ENCFF305TBS.bigBed	ENCFF305TBS	ENCSR733FVS
/experiments/ENCSR733FVS/	ce10	Caenorhabditis elegans strain YL503 (unc-119(ed3) III; vrIs110 [pPIE-1::AMA-1:GFP:FLAG::AMA-1 3'UTR, unc-119 (+)]) whole organism young adult genetically modified (insertion) using bombardment targeting C. elegans ama-1	ChIP-seq	ama-1 (Caenorhabditis elegans)	1,2	1_1,2_1	peaks and background as input for IDR	bigBed	Michael Snyder, Stanford	/files/ENCFF086LCM/@@download/ENCFF086LCM.bigBed	ENCFF086LCM	ENCSR733FVS
