ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR791IKU/	ce10	Caenorhabditis elegans strain YL489 (unc-119(ed3) III; vrIs104 [pPIE-1::AMA-1:GFP:FLAG::PUF-5 3'UTR, unc-119 (+)]) whole organism young adult genetically modified (insertion) using bombardment targeting C. elegans ama-1	ChIP-seq	ama-1 (Caenorhabditis elegans)	1	1_1	control normalized signal	bigWig	Michael Snyder, Stanford	/files/ENCFF752PVJ/@@download/ENCFF752PVJ.bigWig	ENCFF752PVJ	ENCSR791IKU
/experiments/ENCSR791IKU/	ce10	Caenorhabditis elegans strain YL489 (unc-119(ed3) III; vrIs104 [pPIE-1::AMA-1:GFP:FLAG::PUF-5 3'UTR, unc-119 (+)]) whole organism young adult genetically modified (insertion) using bombardment targeting C. elegans ama-1	ChIP-seq	ama-1 (Caenorhabditis elegans)	1,2	1_1,2_1	read-depth normalized signal	bigWig	Michael Snyder, Stanford	/files/ENCFF890VHC/@@download/ENCFF890VHC.bigWig	ENCFF890VHC	ENCSR791IKU
/experiments/ENCSR791IKU/	ce10	Caenorhabditis elegans strain YL489 (unc-119(ed3) III; vrIs104 [pPIE-1::AMA-1:GFP:FLAG::PUF-5 3'UTR, unc-119 (+)]) whole organism young adult genetically modified (insertion) using bombardment targeting C. elegans ama-1	ChIP-seq	ama-1 (Caenorhabditis elegans)	2	2_1	control normalized signal	bigWig	Michael Snyder, Stanford	/files/ENCFF412RMR/@@download/ENCFF412RMR.bigWig	ENCFF412RMR	ENCSR791IKU
/experiments/ENCSR791IKU/	ce10	Caenorhabditis elegans strain YL489 (unc-119(ed3) III; vrIs104 [pPIE-1::AMA-1:GFP:FLAG::PUF-5 3'UTR, unc-119 (+)]) whole organism young adult genetically modified (insertion) using bombardment targeting C. elegans ama-1	ChIP-seq	ama-1 (Caenorhabditis elegans)	1,2	1_1,2_1	signal of unique reads	bigWig	Michael Snyder, Stanford	/files/ENCFF917IOO/@@download/ENCFF917IOO.bigWig	ENCFF917IOO	ENCSR791IKU
/experiments/ENCSR791IKU/	ce10	Caenorhabditis elegans strain YL489 (unc-119(ed3) III; vrIs104 [pPIE-1::AMA-1:GFP:FLAG::PUF-5 3'UTR, unc-119 (+)]) whole organism young adult genetically modified (insertion) using bombardment targeting C. elegans ama-1	ChIP-seq	ama-1 (Caenorhabditis elegans)	1	1_1	read-depth normalized signal	bigWig	Michael Snyder, Stanford	/files/ENCFF711AFS/@@download/ENCFF711AFS.bigWig	ENCFF711AFS	ENCSR791IKU
/experiments/ENCSR791IKU/	ce10	Caenorhabditis elegans strain YL489 (unc-119(ed3) III; vrIs104 [pPIE-1::AMA-1:GFP:FLAG::PUF-5 3'UTR, unc-119 (+)]) whole organism young adult genetically modified (insertion) using bombardment targeting C. elegans ama-1	ChIP-seq	ama-1 (Caenorhabditis elegans)	1,2	1_1,2_1	control normalized signal	bigWig	Michael Snyder, Stanford	/files/ENCFF807SNC/@@download/ENCFF807SNC.bigWig	ENCFF807SNC	ENCSR791IKU
/experiments/ENCSR791IKU/	ce10	Caenorhabditis elegans strain YL489 (unc-119(ed3) III; vrIs104 [pPIE-1::AMA-1:GFP:FLAG::PUF-5 3'UTR, unc-119 (+)]) whole organism young adult genetically modified (insertion) using bombardment targeting C. elegans ama-1	ChIP-seq	ama-1 (Caenorhabditis elegans)	1	1_1	signal of unique reads	bigWig	Michael Snyder, Stanford	/files/ENCFF776DRH/@@download/ENCFF776DRH.bigWig	ENCFF776DRH	ENCSR791IKU
/experiments/ENCSR791IKU/	ce10	Caenorhabditis elegans strain YL489 (unc-119(ed3) III; vrIs104 [pPIE-1::AMA-1:GFP:FLAG::PUF-5 3'UTR, unc-119 (+)]) whole organism young adult genetically modified (insertion) using bombardment targeting C. elegans ama-1	ChIP-seq	ama-1 (Caenorhabditis elegans)	2	2_1	read-depth normalized signal	bigWig	Michael Snyder, Stanford	/files/ENCFF908PZX/@@download/ENCFF908PZX.bigWig	ENCFF908PZX	ENCSR791IKU
/experiments/ENCSR791IKU/	ce10	Caenorhabditis elegans strain YL489 (unc-119(ed3) III; vrIs104 [pPIE-1::AMA-1:GFP:FLAG::PUF-5 3'UTR, unc-119 (+)]) whole organism young adult genetically modified (insertion) using bombardment targeting C. elegans ama-1	ChIP-seq	ama-1 (Caenorhabditis elegans)	2	2_1	signal of unique reads	bigWig	Michael Snyder, Stanford	/files/ENCFF233SDO/@@download/ENCFF233SDO.bigWig	ENCFF233SDO	ENCSR791IKU
/experiments/ENCSR541RUY/	ce10	Caenorhabditis elegans strain OP658 (unc-119(tm4063) III; wgIs658) whole organism young adult 63 hours post synchronization at L1 larva starved after bleaching stage genetically modified (insertion) using bombardment targeting C. elegans F10E7.11	ChIP-seq	F10E7.11 (Caenorhabditis elegans)	1,2	1_1,2_1	signal of unique reads	bigWig	Valerie Reinke, Yale	/files/ENCFF922XET/@@download/ENCFF922XET.bigWig	ENCFF922XET	ENCSR541RUY
