ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR229TGN/	dm6	Drosophila melanogaster strain Adf1-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster Adf1	ChIP-seq	Adf1 (Drosophila melanogaster)	2	2_1	IDR thresholded peaks	bigBed	Kevin White, UChicago	/files/ENCFF239YAR/@@download/ENCFF239YAR.bigBed	ENCFF239YAR	ENCSR229TGN
/experiments/ENCSR229TGN/	dm6	Drosophila melanogaster strain Adf1-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster Adf1	ChIP-seq	Adf1 (Drosophila melanogaster)	1	1_1	IDR thresholded peaks	bigBed	Kevin White, UChicago	/files/ENCFF225MYU/@@download/ENCFF225MYU.bigBed	ENCFF225MYU	ENCSR229TGN
/experiments/ENCSR229TGN/	dm6	Drosophila melanogaster strain Adf1-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster Adf1	ChIP-seq	Adf1 (Drosophila melanogaster)	1,2	1_1,2_1	IDR thresholded peaks	bigBed	Kevin White, UChicago	/files/ENCFF764DOK/@@download/ENCFF764DOK.bigBed	ENCFF764DOK	ENCSR229TGN
/experiments/ENCSR229TGN/	dm6	Drosophila melanogaster strain Adf1-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster Adf1	ChIP-seq	Adf1 (Drosophila melanogaster)	1,2	1_1,2_1	conservative IDR thresholded peaks	bigBed	Kevin White, UChicago	/files/ENCFF104AHL/@@download/ENCFF104AHL.bigBed	ENCFF104AHL	ENCSR229TGN
/experiments/ENCSR906ZIN/	dm6	Drosophila melanogaster strain HLH4C-GFP whole organism embryo (8-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster HLH4C	ChIP-seq	HLH4C (Drosophila melanogaster)	3	3_1	IDR thresholded peaks	bigBed	Kevin White, UChicago	/files/ENCFF557UDJ/@@download/ENCFF557UDJ.bigBed	ENCFF557UDJ	ENCSR906ZIN
/experiments/ENCSR906ZIN/	dm6	Drosophila melanogaster strain HLH4C-GFP whole organism embryo (8-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster HLH4C	ChIP-seq	HLH4C (Drosophila melanogaster)	1	1_1	IDR thresholded peaks	bigBed	Kevin White, UChicago	/files/ENCFF469VBG/@@download/ENCFF469VBG.bigBed	ENCFF469VBG	ENCSR906ZIN
/experiments/ENCSR906ZIN/	dm6	Drosophila melanogaster strain HLH4C-GFP whole organism embryo (8-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster HLH4C	ChIP-seq	HLH4C (Drosophila melanogaster)	2	2_1	IDR thresholded peaks	bigBed	Kevin White, UChicago	/files/ENCFF128KIN/@@download/ENCFF128KIN.bigBed	ENCFF128KIN	ENCSR906ZIN
/experiments/ENCSR906ZIN/	dm6	Drosophila melanogaster strain HLH4C-GFP whole organism embryo (8-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster HLH4C	ChIP-seq	HLH4C (Drosophila melanogaster)	1,2,3	1_1,2_1,3_1	IDR thresholded peaks	bigBed	Kevin White, UChicago	/files/ENCFF055EMI/@@download/ENCFF055EMI.bigBed	ENCFF055EMI	ENCSR906ZIN
/experiments/ENCSR906ZIN/	dm6	Drosophila melanogaster strain HLH4C-GFP whole organism embryo (8-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster HLH4C	ChIP-seq	HLH4C (Drosophila melanogaster)	1,2,3	1_1,2_1,3_1	IDR thresholded peaks	bigBed	Kevin White, UChicago	/files/ENCFF583HXZ/@@download/ENCFF583HXZ.bigBed	ENCFF583HXZ	ENCSR906ZIN
/experiments/ENCSR906ZIN/	dm6	Drosophila melanogaster strain HLH4C-GFP whole organism embryo (8-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster HLH4C	ChIP-seq	HLH4C (Drosophila melanogaster)	1,2,3	1_1,2_1,3_1	IDR thresholded peaks	bigBed	Kevin White, UChicago	/files/ENCFF321AEH/@@download/ENCFF321AEH.bigBed	ENCFF321AEH	ENCSR906ZIN
