ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR015ZUX/	dm6	Drosophila melanogaster strain E(spl)m-beta-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)mbeta-HLH	ChIP-seq	E(spl)mβ-HLH (Drosophila melanogaster)	1,3	1_1,3_1	control normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF163FVJ/@@download/ENCFF163FVJ.bigWig	ENCFF163FVJ	ENCSR015ZUX
/experiments/ENCSR015ZUX/	dm6	Drosophila melanogaster strain E(spl)m-beta-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)mbeta-HLH	ChIP-seq	E(spl)mβ-HLH (Drosophila melanogaster)	1	1_1	control normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF193WTK/@@download/ENCFF193WTK.bigWig	ENCFF193WTK	ENCSR015ZUX
/experiments/ENCSR015ZUX/	dm6	Drosophila melanogaster strain E(spl)m-beta-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)mbeta-HLH	ChIP-seq	E(spl)mβ-HLH (Drosophila melanogaster)	1	1_1	read-depth normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF214HQX/@@download/ENCFF214HQX.bigWig	ENCFF214HQX	ENCSR015ZUX
/experiments/ENCSR015ZUX/	dm6	Drosophila melanogaster strain E(spl)m-beta-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)mbeta-HLH	ChIP-seq	E(spl)mβ-HLH (Drosophila melanogaster)	3	3_1	signal of unique reads	bigWig	Kevin White, UChicago	/files/ENCFF686SUO/@@download/ENCFF686SUO.bigWig	ENCFF686SUO	ENCSR015ZUX
/experiments/ENCSR015ZUX/	dm6	Drosophila melanogaster strain E(spl)m-beta-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)mbeta-HLH	ChIP-seq	E(spl)mβ-HLH (Drosophila melanogaster)	3	3_1	control normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF084IIN/@@download/ENCFF084IIN.bigWig	ENCFF084IIN	ENCSR015ZUX
/experiments/ENCSR015ZUX/	dm6	Drosophila melanogaster strain E(spl)m-beta-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)mbeta-HLH	ChIP-seq	E(spl)mβ-HLH (Drosophila melanogaster)	1,3	1_1,3_1	signal of unique reads	bigWig	Kevin White, UChicago	/files/ENCFF689BAV/@@download/ENCFF689BAV.bigWig	ENCFF689BAV	ENCSR015ZUX
/experiments/ENCSR015ZUX/	dm6	Drosophila melanogaster strain E(spl)m-beta-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)mbeta-HLH	ChIP-seq	E(spl)mβ-HLH (Drosophila melanogaster)	1	1_1	signal of unique reads	bigWig	Kevin White, UChicago	/files/ENCFF490FJV/@@download/ENCFF490FJV.bigWig	ENCFF490FJV	ENCSR015ZUX
/experiments/ENCSR015ZUX/	dm6	Drosophila melanogaster strain E(spl)m-beta-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)mbeta-HLH	ChIP-seq	E(spl)mβ-HLH (Drosophila melanogaster)	3	3_1	read-depth normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF246VBW/@@download/ENCFF246VBW.bigWig	ENCFF246VBW	ENCSR015ZUX
/experiments/ENCSR015ZUX/	dm6	Drosophila melanogaster strain E(spl)m-beta-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)mbeta-HLH	ChIP-seq	E(spl)mβ-HLH (Drosophila melanogaster)	1,3	1_1,3_1	read-depth normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF343HZJ/@@download/ENCFF343HZJ.bigWig	ENCFF343HZJ	ENCSR015ZUX
/experiments/ENCSR758FTK/	dm6	Drosophila melanogaster strain E(spl)m-delta-GFP whole organism embryo (2-12 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)mdelta-HLH	ChIP-seq	HLHmδ (Drosophila melanogaster)	1	1_1	read-depth normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF217RMA/@@download/ENCFF217RMA.bigWig	ENCFF217RMA	ENCSR758FTK
/experiments/ENCSR758FTK/	dm6	Drosophila melanogaster strain E(spl)m-delta-GFP whole organism embryo (2-12 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)mdelta-HLH	ChIP-seq	HLHmδ (Drosophila melanogaster)	1	1_1	control normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF512IFU/@@download/ENCFF512IFU.bigWig	ENCFF512IFU	ENCSR758FTK
/experiments/ENCSR758FTK/	dm6	Drosophila melanogaster strain E(spl)m-delta-GFP whole organism embryo (2-12 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)mdelta-HLH	ChIP-seq	HLHmδ (Drosophila melanogaster)	2	2_1	control normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF462YIS/@@download/ENCFF462YIS.bigWig	ENCFF462YIS	ENCSR758FTK
/experiments/ENCSR758FTK/	dm6	Drosophila melanogaster strain E(spl)m-delta-GFP whole organism embryo (2-12 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)mdelta-HLH	ChIP-seq	HLHmδ (Drosophila melanogaster)	1,2	1_1,2_1	control normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF221TIV/@@download/ENCFF221TIV.bigWig	ENCFF221TIV	ENCSR758FTK
