ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR566XIP/	hg19	Homo sapiens hTERT RPE-1 genetically modified (deletion) using TALEN	HiC		1,2,3,4	1_1,1_2,2_1,3_1,4_1,4_2	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF052VSQ/@@download/ENCFF052VSQ.hic	ENCFF052VSQ	ENCSR566XIP
/experiments/ENCSR566XIP/	hg19	Homo sapiens hTERT RPE-1 genetically modified (deletion) using TALEN	HiC		1,2,3,4	1_1,1_2,2_1,3_1,4_1,4_2	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF150DKS/@@download/ENCFF150DKS.hic	ENCFF150DKS	ENCSR566XIP
/experiments/ENCSR545YBD/	hg19	Homo sapiens K562	HiC		1	1_2	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF013TGD/@@download/ENCFF013TGD.hic	ENCFF013TGD	ENCSR545YBD
/experiments/ENCSR545YBD/	hg19	Homo sapiens K562	HiC		1	1_1	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF004WVP/@@download/ENCFF004WVP.hic	ENCFF004WVP	ENCSR545YBD
/experiments/ENCSR545YBD/	hg19	Homo sapiens K562	HiC		2	2_3	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF929RPW/@@download/ENCFF929RPW.hic	ENCFF929RPW	ENCSR545YBD
/experiments/ENCSR545YBD/	hg19	Homo sapiens K562	HiC		1	1_2	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF423EFU/@@download/ENCFF423EFU.hic	ENCFF423EFU	ENCSR545YBD
/experiments/ENCSR545YBD/	hg19	Homo sapiens K562	HiC		2	2_2	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF996XEO/@@download/ENCFF996XEO.hic	ENCFF996XEO	ENCSR545YBD
/experiments/ENCSR545YBD/	hg19	Homo sapiens K562	HiC		2	2_1	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF992HFT/@@download/ENCFF992HFT.hic	ENCFF992HFT	ENCSR545YBD
/experiments/ENCSR545YBD/	hg19	Homo sapiens K562	HiC		2	2_1	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF097SKJ/@@download/ENCFF097SKJ.hic	ENCFF097SKJ	ENCSR545YBD
/experiments/ENCSR545YBD/	hg19	Homo sapiens K562	HiC		2	2_3	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF072IFO/@@download/ENCFF072IFO.hic	ENCFF072IFO	ENCSR545YBD
/experiments/ENCSR545YBD/	hg19	Homo sapiens K562	HiC		2	2_2	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF291MRI/@@download/ENCFF291MRI.hic	ENCFF291MRI	ENCSR545YBD
/experiments/ENCSR545YBD/	hg19	Homo sapiens K562	HiC		2	2_4	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF510ZLC/@@download/ENCFF510ZLC.hic	ENCFF510ZLC	ENCSR545YBD
/experiments/ENCSR545YBD/	hg19	Homo sapiens K562	HiC		2	2_4	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF464KRA/@@download/ENCFF464KRA.hic	ENCFF464KRA	ENCSR545YBD
/experiments/ENCSR545YBD/	hg19	Homo sapiens K562	HiC		1	1_1	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF406HHC/@@download/ENCFF406HHC.hic	ENCFF406HHC	ENCSR545YBD
/experiments/ENCSR382RFU/	hg19	Homo sapiens GM12878	HiC		1	1_1	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF495JMR/@@download/ENCFF495JMR.hic	ENCFF495JMR	ENCSR382RFU
/experiments/ENCSR382RFU/	hg19	Homo sapiens GM12878	HiC		1	1_1	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF799QGA/@@download/ENCFF799QGA.hic	ENCFF799QGA	ENCSR382RFU
/experiments/ENCSR382RFU/	hg19	Homo sapiens GM12878	HiC		1	1_2	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF714OYB/@@download/ENCFF714OYB.hic	ENCFF714OYB	ENCSR382RFU
/experiments/ENCSR382RFU/	hg19	Homo sapiens GM12878	HiC		1	1_2	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF473CAA/@@download/ENCFF473CAA.hic	ENCFF473CAA	ENCSR382RFU
/experiments/ENCSR046XXF/	hg19	Homo sapiens GM12878	HiC		1	1_1	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF959PGI/@@download/ENCFF959PGI.hic	ENCFF959PGI	ENCSR046XXF
/experiments/ENCSR046XXF/	hg19	Homo sapiens GM12878	HiC		1	1_1	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF812THZ/@@download/ENCFF812THZ.hic	ENCFF812THZ	ENCSR046XXF
/experiments/ENCSR046XXF/	hg19	Homo sapiens GM12878	HiC		2	2_1	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF986GUS/@@download/ENCFF986GUS.hic	ENCFF986GUS	ENCSR046XXF
/experiments/ENCSR046XXF/	hg19	Homo sapiens GM12878	HiC		3	3_2	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF777KBU/@@download/ENCFF777KBU.hic	ENCFF777KBU	ENCSR046XXF
/experiments/ENCSR046XXF/	hg19	Homo sapiens GM12878	HiC		2	2_1	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF688KOY/@@download/ENCFF688KOY.hic	ENCFF688KOY	ENCSR046XXF
/experiments/ENCSR046XXF/	hg19	Homo sapiens GM12878	HiC		3	3_2	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF053ULP/@@download/ENCFF053ULP.hic	ENCFF053ULP	ENCSR046XXF
/experiments/ENCSR968KAY/	hg19	Homo sapiens GM12878	HiC		1	1_1	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF062MMV/@@download/ENCFF062MMV.hic	ENCFF062MMV	ENCSR968KAY
/experiments/ENCSR968KAY/	hg19	Homo sapiens GM12878	HiC		1	1_3	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF227XJZ/@@download/ENCFF227XJZ.hic	ENCFF227XJZ	ENCSR968KAY
/experiments/ENCSR968KAY/	hg19	Homo sapiens GM12878	HiC		2	2_2	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF053BXY/@@download/ENCFF053BXY.hic	ENCFF053BXY	ENCSR968KAY
/experiments/ENCSR968KAY/	hg19	Homo sapiens GM12878	HiC		1	1_1	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF014VMM/@@download/ENCFF014VMM.hic	ENCFF014VMM	ENCSR968KAY
/experiments/ENCSR968KAY/	hg19	Homo sapiens GM12878	HiC		1	1_2	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF948KDF/@@download/ENCFF948KDF.hic	ENCFF948KDF	ENCSR968KAY
