ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR000BGC/	hg19	Homo sapiens GM12878	ChIP-seq	GABPA 	1	1_1	peaks	bigBed	Richard Myers, HAIB	/files/ENCFF000NVZ/@@download/ENCFF000NVZ.bigBed	ENCFF000NVZ	ENCSR000BGC
/experiments/ENCSR000BGC/	hg19	Homo sapiens GM12878	ChIP-seq	GABPA 	2	2_1	peaks	bigBed	Richard Myers, HAIB	/files/ENCFF000NWA/@@download/ENCFF000NWA.bigBed	ENCFF000NWA	ENCSR000BGC
/experiments/ENCSR000BGC/	hg19	Homo sapiens GM12878	ChIP-seq	GABPA 			optimal IDR thresholded peaks	bigBed	Richard Myers, HAIB	/files/ENCFF803SNQ/@@download/ENCFF803SNQ.bigBed	ENCFF803SNQ	ENCSR000BGC
/experiments/ENCSR000BGC/	hg19	Homo sapiens GM12878	ChIP-seq	GABPA 	1,2	1_1,2_1	peaks and background as input for IDR	bigBed	Richard Myers, HAIB	/files/ENCFF289QXI/@@download/ENCFF289QXI.bigBed	ENCFF289QXI	ENCSR000BGC
/experiments/ENCSR000BGC/	hg19	Homo sapiens GM12878	ChIP-seq	GABPA 	1	1_1	peaks and background as input for IDR	bigBed	Richard Myers, HAIB	/files/ENCFF301MZF/@@download/ENCFF301MZF.bigBed	ENCFF301MZF	ENCSR000BGC
/experiments/ENCSR000BGC/	hg19	Homo sapiens GM12878	ChIP-seq	GABPA 	2	2_1	peaks and background as input for IDR	bigBed	Richard Myers, HAIB	/files/ENCFF533WKI/@@download/ENCFF533WKI.bigBed	ENCFF533WKI	ENCSR000BGC
/experiments/ENCSR000BGC/	hg19	Homo sapiens GM12878	ChIP-seq	GABPA 	1,2	1_1,2_1	optimal IDR thresholded peaks	bigBed	Richard Myers, HAIB	/files/ENCFF476VBY/@@download/ENCFF476VBY.bigBed	ENCFF476VBY	ENCSR000BGC
/experiments/ENCSR000BGC/	hg19	Homo sapiens GM12878	ChIP-seq	GABPA 	1,2	1_1,2_1	conservative IDR thresholded peaks	bigBed	Richard Myers, HAIB	/files/ENCFF519HYN/@@download/ENCFF519HYN.bigBed	ENCFF519HYN	ENCSR000BGC
/experiments/ENCSR000BJM/	hg19	Homo sapiens HepG2	ChIP-seq	POLR2A 	1	1_1	peaks	bigBed	Richard Myers, HAIB	/files/ENCFF000PNF/@@download/ENCFF000PNF.bigBed	ENCFF000PNF	ENCSR000BJM
/experiments/ENCSR000BJM/	hg19	Homo sapiens HepG2	ChIP-seq	POLR2A 	2	2_1	peaks	bigBed	Richard Myers, HAIB	/files/ENCFF000PNG/@@download/ENCFF000PNG.bigBed	ENCFF000PNG	ENCSR000BJM
/experiments/ENCSR000BJM/	hg19	Homo sapiens HepG2	ChIP-seq	POLR2A 			optimal IDR thresholded peaks	bigBed	Richard Myers, HAIB	/files/ENCFF536QCV/@@download/ENCFF536QCV.bigBed	ENCFF536QCV	ENCSR000BJM
/experiments/ENCSR000BJM/	hg19	Homo sapiens HepG2	ChIP-seq	POLR2A 	1,2	1_1,2_1	peaks and background as input for IDR	bigBed	Richard Myers, HAIB	/files/ENCFF838GJX/@@download/ENCFF838GJX.bigBed	ENCFF838GJX	ENCSR000BJM
/experiments/ENCSR000BJM/	hg19	Homo sapiens HepG2	ChIP-seq	POLR2A 	1	1_1	peaks and background as input for IDR	bigBed	Richard Myers, HAIB	/files/ENCFF116CKX/@@download/ENCFF116CKX.bigBed	ENCFF116CKX	ENCSR000BJM
/experiments/ENCSR000BJM/	hg19	Homo sapiens HepG2	ChIP-seq	POLR2A 	2	2_1	peaks and background as input for IDR	bigBed	Richard Myers, HAIB	/files/ENCFF137UNH/@@download/ENCFF137UNH.bigBed	ENCFF137UNH	ENCSR000BJM
/experiments/ENCSR000BJM/	hg19	Homo sapiens HepG2	ChIP-seq	POLR2A 	1,2	1_1,2_1	conservative IDR thresholded peaks	bigBed	Richard Myers, HAIB	/files/ENCFF545NHH/@@download/ENCFF545NHH.bigBed	ENCFF545NHH	ENCSR000BJM
/experiments/ENCSR000BJM/	hg19	Homo sapiens HepG2	ChIP-seq	POLR2A 	1,2	1_1,2_1	optimal IDR thresholded peaks	bigBed	Richard Myers, HAIB	/files/ENCFF690CPE/@@download/ENCFF690CPE.bigBed	ENCFF690CPE	ENCSR000BJM
/experiments/ENCSR000EHW/	hg19	Homo sapiens SK-N-SH	ChIP-seq	SMC3 			peaks	bigBed	Michael Snyder, Stanford	/files/ENCFF000ZSR/@@download/ENCFF000ZSR.bigBed	ENCFF000ZSR	ENCSR000EHW
/experiments/ENCSR000EHW/	hg19	Homo sapiens SK-N-SH	ChIP-seq	SMC3 	1	1_1	peaks and background as input for IDR	bigBed	Michael Snyder, Stanford	/files/ENCFF181LOC/@@download/ENCFF181LOC.bigBed	ENCFF181LOC	ENCSR000EHW
