ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR091KXI/	hg19	Homo sapiens tibial nerve tissue male adult (54 years)	ChIP-seq	H3K27ac 	1	1_1,1_2	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF305XHA/@@download/ENCFF305XHA.bigWig	ENCFF305XHA	ENCSR091KXI
/experiments/ENCSR091KXI/	hg19	Homo sapiens tibial nerve tissue male adult (54 years)	ChIP-seq	H3K27ac 	1	1_1,1_2	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF835BBR/@@download/ENCFF835BBR.bigWig	ENCFF835BBR	ENCSR091KXI
/experiments/ENCSR355ALW/	hg19	Homo sapiens gastrocnemius medialis tissue female adult (51 years)	ChIP-seq	CTCF 	1	1_1	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF321LTK/@@download/ENCFF321LTK.bigWig	ENCFF321LTK	ENCSR355ALW
/experiments/ENCSR355ALW/	hg19	Homo sapiens gastrocnemius medialis tissue female adult (51 years)	ChIP-seq	CTCF 	1	1_1	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF288LRC/@@download/ENCFF288LRC.bigWig	ENCFF288LRC	ENCSR355ALW
/experiments/ENCSR355ALW/	hg19	Homo sapiens gastrocnemius medialis tissue female adult (51 years)	ChIP-seq	CTCF 	2	2_1	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF418GPT/@@download/ENCFF418GPT.bigWig	ENCFF418GPT	ENCSR355ALW
/experiments/ENCSR355ALW/	hg19	Homo sapiens gastrocnemius medialis tissue female adult (51 years)	ChIP-seq	CTCF 	1,2	1_1,2_1	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF895WYB/@@download/ENCFF895WYB.bigWig	ENCFF895WYB	ENCSR355ALW
/experiments/ENCSR355ALW/	hg19	Homo sapiens gastrocnemius medialis tissue female adult (51 years)	ChIP-seq	CTCF 	2	2_1	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF786MQR/@@download/ENCFF786MQR.bigWig	ENCFF786MQR	ENCSR355ALW
/experiments/ENCSR355ALW/	hg19	Homo sapiens gastrocnemius medialis tissue female adult (51 years)	ChIP-seq	CTCF 	1,2	1_1,2_1	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF118GNC/@@download/ENCFF118GNC.bigWig	ENCFF118GNC	ENCSR355ALW
/experiments/ENCSR401KRN/	hg19	Homo sapiens right atrium auricular region tissue female adult (53 years)	ChIP-seq	CTCF 	1	1_1	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF178TRZ/@@download/ENCFF178TRZ.bigWig	ENCFF178TRZ	ENCSR401KRN
/experiments/ENCSR401KRN/	hg19	Homo sapiens right atrium auricular region tissue female adult (53 years)	ChIP-seq	CTCF 	1	1_1	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF454UMS/@@download/ENCFF454UMS.bigWig	ENCFF454UMS	ENCSR401KRN
/experiments/ENCSR229GEL/	hg19	Homo sapiens upper lobe of left lung tissue male adult (54 years)	ChIP-seq	H3K36me3 	1	1_1,1_2	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF572VAG/@@download/ENCFF572VAG.bigWig	ENCFF572VAG	ENCSR229GEL
/experiments/ENCSR229GEL/	hg19	Homo sapiens upper lobe of left lung tissue male adult (54 years)	ChIP-seq	H3K36me3 	1	1_1,1_2	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF676BFX/@@download/ENCFF676BFX.bigWig	ENCFF676BFX	ENCSR229GEL
/experiments/ENCSR674WSL/	hg19	Homo sapiens esophagus muscularis mucosa tissue male adult (54 years)	ChIP-seq	H3K4me1 	1	1_1	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF478GEN/@@download/ENCFF478GEN.bigWig	ENCFF478GEN	ENCSR674WSL
/experiments/ENCSR674WSL/	hg19	Homo sapiens esophagus muscularis mucosa tissue male adult (54 years)	ChIP-seq	H3K4me1 	1	1_1	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF490LVG/@@download/ENCFF490LVG.bigWig	ENCFF490LVG	ENCSR674WSL
/experiments/ENCSR464TRM/	hg19	Homo sapiens tibial nerve tissue male adult (54 years)	ChIP-seq	H3K4me3 	1	1_1	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF113WVF/@@download/ENCFF113WVF.bigWig	ENCFF113WVF	ENCSR464TRM
/experiments/ENCSR464TRM/	hg19	Homo sapiens tibial nerve tissue male adult (54 years)	ChIP-seq	H3K4me3 	1	1_1	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF424QYS/@@download/ENCFF424QYS.bigWig	ENCFF424QYS	ENCSR464TRM
/experiments/ENCSR805YLE/	hg19	Homo sapiens gastroesophageal sphincter tissue male adult (54 years)	ChIP-seq	CTCF 	1	1_1,1_2	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF676UPU/@@download/ENCFF676UPU.bigWig	ENCFF676UPU	ENCSR805YLE
/experiments/ENCSR805YLE/	hg19	Homo sapiens gastroesophageal sphincter tissue male adult (54 years)	ChIP-seq	CTCF 	1	1_1,1_2	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF309DHB/@@download/ENCFF309DHB.bigWig	ENCFF309DHB	ENCSR805YLE
/experiments/ENCSR684PGO/	hg19	Homo sapiens uterus tissue female adult (53 years)	ChIP-seq	CTCF 	1	1_1,1_2	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF198RIL/@@download/ENCFF198RIL.bigWig	ENCFF198RIL	ENCSR684PGO
/experiments/ENCSR684PGO/	hg19	Homo sapiens uterus tissue female adult (53 years)	ChIP-seq	CTCF 	1	1_1,1_2	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF873IBO/@@download/ENCFF873IBO.bigWig	ENCFF873IBO	ENCSR684PGO
/experiments/ENCSR007GED/	hg19	Homo sapiens stomach tissue male adult (54 years)	ChIP-seq	H3K36me3 	1	1_1,1_2	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF414FQR/@@download/ENCFF414FQR.bigWig	ENCFF414FQR	ENCSR007GED
/experiments/ENCSR007GED/	hg19	Homo sapiens stomach tissue male adult (54 years)	ChIP-seq	H3K36me3 	1	1_1,1_2	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF662HMU/@@download/ENCFF662HMU.bigWig	ENCFF662HMU	ENCSR007GED
/experiments/ENCSR219QSM/	hg19	Homo sapiens gastroesophageal sphincter tissue male adult (54 years)	ChIP-seq	H3K4me3 	1	1_1,1_2	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF423IUB/@@download/ENCFF423IUB.bigWig	ENCFF423IUB	ENCSR219QSM
/experiments/ENCSR219QSM/	hg19	Homo sapiens gastroesophageal sphincter tissue male adult (54 years)	ChIP-seq	H3K4me3 	1	1_1,1_2	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF326MFG/@@download/ENCFF326MFG.bigWig	ENCFF326MFG	ENCSR219QSM
/experiments/ENCSR590NNJ/	hg19	Homo sapiens tibial nerve tissue male adult (54 years)	ChIP-seq	H3K4me1 	1	1_1,1_2	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF257YQE/@@download/ENCFF257YQE.bigWig	ENCFF257YQE	ENCSR590NNJ
/experiments/ENCSR590NNJ/	hg19	Homo sapiens tibial nerve tissue male adult (54 years)	ChIP-seq	H3K4me1 	1	1_1,1_2	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF909ZLU/@@download/ENCFF909ZLU.bigWig	ENCFF909ZLU	ENCSR590NNJ
/experiments/ENCSR555DCD/	hg19	Homo sapiens ascending aorta tissue female adult (53 years)	ChIP-seq	CTCF 	1	1_1	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF085MJP/@@download/ENCFF085MJP.bigWig	ENCFF085MJP	ENCSR555DCD
/experiments/ENCSR555DCD/	hg19	Homo sapiens ascending aorta tissue female adult (53 years)	ChIP-seq	CTCF 	1	1_1	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF077TAI/@@download/ENCFF077TAI.bigWig	ENCFF077TAI	ENCSR555DCD
/experiments/ENCSR237GVU/	hg19	Homo sapiens gastroesophageal sphincter tissue male adult (54 years)	ChIP-seq	H3K9me3 	1	1_1,1_2	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF410DNX/@@download/ENCFF410DNX.bigWig	ENCFF410DNX	ENCSR237GVU
/experiments/ENCSR237GVU/	hg19	Homo sapiens gastroesophageal sphincter tissue male adult (54 years)	ChIP-seq	H3K9me3 	1	1_1,1_2	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF991CXR/@@download/ENCFF991CXR.bigWig	ENCFF991CXR	ENCSR237GVU
/experiments/ENCSR172LVU/	hg19	Homo sapiens sigmoid colon tissue male adult (54 years)	ChIP-seq	H3K4me3 	1	1_1,1_2	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF445QHF/@@download/ENCFF445QHF.bigWig	ENCFF445QHF	ENCSR172LVU
/experiments/ENCSR172LVU/	hg19	Homo sapiens sigmoid colon tissue male adult (54 years)	ChIP-seq	H3K4me3 	1	1_1,1_2	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF525CLM/@@download/ENCFF525CLM.bigWig	ENCFF525CLM	ENCSR172LVU
/experiments/ENCSR860GPM/	hg19	Homo sapiens sigmoid colon tissue male adult (54 years)	ChIP-seq	H3K27me3 	1	1_1,1_2	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF762ABV/@@download/ENCFF762ABV.bigWig	ENCFF762ABV	ENCSR860GPM
/experiments/ENCSR860GPM/	hg19	Homo sapiens sigmoid colon tissue male adult (54 years)	ChIP-seq	H3K27me3 	1	1_1,1_2	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF213TKC/@@download/ENCFF213TKC.bigWig	ENCFF213TKC	ENCSR860GPM
/experiments/ENCSR230ORT/	hg19	Homo sapiens prostate gland tissue male adult (54 years)	ChIP-seq	CTCF 	1	1_1	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF255HUO/@@download/ENCFF255HUO.bigWig	ENCFF255HUO	ENCSR230ORT
/experiments/ENCSR230ORT/	hg19	Homo sapiens prostate gland tissue male adult (54 years)	ChIP-seq	CTCF 	1	1_1	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF114JEO/@@download/ENCFF114JEO.bigWig	ENCFF114JEO	ENCSR230ORT
/experiments/ENCSR230ORT/	hg19	Homo sapiens prostate gland tissue male adult (54 years)	ChIP-seq	CTCF 	2	2_1	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF229VTZ/@@download/ENCFF229VTZ.bigWig	ENCFF229VTZ	ENCSR230ORT
/experiments/ENCSR230ORT/	hg19	Homo sapiens prostate gland tissue male adult (54 years)	ChIP-seq	CTCF 	1,2	1_1,2_1	signal p-value	bigWig	Bradley Bernstein, Broad	/files/ENCFF780PGG/@@download/ENCFF780PGG.bigWig	ENCFF780PGG	ENCSR230ORT
/experiments/ENCSR230ORT/	hg19	Homo sapiens prostate gland tissue male adult (54 years)	ChIP-seq	CTCF 	2	2_1	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF185AHV/@@download/ENCFF185AHV.bigWig	ENCFF185AHV	ENCSR230ORT
/experiments/ENCSR230ORT/	hg19	Homo sapiens prostate gland tissue male adult (54 years)	ChIP-seq	CTCF 	1,2	1_1,2_1	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF089OUP/@@download/ENCFF089OUP.bigWig	ENCFF089OUP	ENCSR230ORT
/experiments/ENCSR716TNU/	hg19	Homo sapiens gastrocnemius medialis tissue female adult (51 years)	ChIP-seq	H3K36me3 	1	1_1,1_2	fold change over control	bigWig	Bradley Bernstein, Broad	/files/ENCFF472FVV/@@download/ENCFF472FVV.bigWig	ENCFF472FVV	ENCSR716TNU
