ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		2	2_1	transcript quantifications	tsv	Thomas Gingeras, CSHL	/files/ENCFF823DTV/@@download/ENCFF823DTV.tsv	ENCFF823DTV	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		1	1_1	gene quantifications	tsv	Thomas Gingeras, CSHL	/files/ENCFF827QJX/@@download/ENCFF827QJX.tsv	ENCFF827QJX	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		1	1_1	transcript quantifications	tsv	Thomas Gingeras, CSHL	/files/ENCFF806GDO/@@download/ENCFF806GDO.tsv	ENCFF806GDO	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		2	2_1	gene quantifications	tsv	Thomas Gingeras, CSHL	/files/ENCFF243XMR/@@download/ENCFF243XMR.tsv	ENCFF243XMR	ENCSR000AJV
/experiments/ENCSR333QJO/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap limb tissue embryo (14.5 days)	ChIP-seq	H3K9me3 (Mus musculus)	2	2_1,2_2,2_3	peaks	bigBed	Bing Ren, UCSD	/files/ENCFF327DTU/@@download/ENCFF327DTU.bigBed	ENCFF327DTU	ENCSR333QJO
/experiments/ENCSR333QJO/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap limb tissue embryo (14.5 days)	ChIP-seq	H3K9me3 (Mus musculus)	1	1_1,1_2,1_3	peaks	bigBed	Bing Ren, UCSD	/files/ENCFF189LON/@@download/ENCFF189LON.bigBed	ENCFF189LON	ENCSR333QJO
/experiments/ENCSR333QJO/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap limb tissue embryo (14.5 days)	ChIP-seq	H3K9me3 (Mus musculus)	1,2	1_1,1_2,1_3,2_1,2_2,2_3	peaks	bigBed	Bing Ren, UCSD	/files/ENCFF880PLF/@@download/ENCFF880PLF.bigBed	ENCFF880PLF	ENCSR333QJO
/experiments/ENCSR333QJO/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap limb tissue embryo (14.5 days)	ChIP-seq	H3K9me3 (Mus musculus)	1,2	1_1,1_2,1_3,2_1,2_2,2_3	replicated peaks	bigBed	Bing Ren, UCSD	/files/ENCFF148QMJ/@@download/ENCFF148QMJ.bigBed	ENCFF148QMJ	ENCSR333QJO
/experiments/ENCSR450ITF/	mm10-minimal	Mus musculus strain B6NCrl midbrain tissue embryo (11.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	2	2_1	peaks	bigBed	Bing Ren, UCSD	/files/ENCFF411RJY/@@download/ENCFF411RJY.bigBed	ENCFF411RJY	ENCSR450ITF
/experiments/ENCSR450ITF/	mm10-minimal	Mus musculus strain B6NCrl midbrain tissue embryo (11.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	1	1_1	peaks	bigBed	Bing Ren, UCSD	/files/ENCFF436ESY/@@download/ENCFF436ESY.bigBed	ENCFF436ESY	ENCSR450ITF
/experiments/ENCSR450ITF/	mm10-minimal	Mus musculus strain B6NCrl midbrain tissue embryo (11.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	1,2	1_1,2_1	peaks	bigBed	Bing Ren, UCSD	/files/ENCFF942DRD/@@download/ENCFF942DRD.bigBed	ENCFF942DRD	ENCSR450ITF
/experiments/ENCSR450ITF/	mm10-minimal	Mus musculus strain B6NCrl midbrain tissue embryo (11.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	1,2	1_1,2_1	replicated peaks	bigBed	Bing Ren, UCSD	/files/ENCFF789DRO/@@download/ENCFF789DRO.bigBed	ENCFF789DRO	ENCSR450ITF
/experiments/ENCSR631QAE/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap limb tissue embryo (14.5 days)	ChIP-seq	H3K4me2 (Mus musculus)	1,2	1_1,2_1	peaks	bigBed	Bing Ren, UCSD	/files/ENCFF763IAO/@@download/ENCFF763IAO.bigBed	ENCFF763IAO	ENCSR631QAE
/experiments/ENCSR631QAE/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap limb tissue embryo (14.5 days)	ChIP-seq	H3K4me2 (Mus musculus)	2	2_1	peaks	bigBed	Bing Ren, UCSD	/files/ENCFF877CRL/@@download/ENCFF877CRL.bigBed	ENCFF877CRL	ENCSR631QAE
/experiments/ENCSR631QAE/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap limb tissue embryo (14.5 days)	ChIP-seq	H3K4me2 (Mus musculus)	1	1_1	peaks	bigBed	Bing Ren, UCSD	/files/ENCFF761NEK/@@download/ENCFF761NEK.bigBed	ENCFF761NEK	ENCSR631QAE
/experiments/ENCSR631QAE/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap limb tissue embryo (14.5 days)	ChIP-seq	H3K4me2 (Mus musculus)	1,2	1_1,2_1	replicated peaks	bigBed	Bing Ren, UCSD	/files/ENCFF135ZVG/@@download/ENCFF135ZVG.bigBed	ENCFF135ZVG	ENCSR631QAE
/experiments/ENCSR448TTC/	mm10-minimal	Mus musculus strain B6NCrl neural tube tissue embryo (11.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	1	1_1,1_2	peaks	bigBed	Bing Ren, UCSD	/files/ENCFF649WUE/@@download/ENCFF649WUE.bigBed	ENCFF649WUE	ENCSR448TTC
/experiments/ENCSR448TTC/	mm10-minimal	Mus musculus strain B6NCrl neural tube tissue embryo (11.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	2	2_1,2_2	peaks	bigBed	Bing Ren, UCSD	/files/ENCFF491NEI/@@download/ENCFF491NEI.bigBed	ENCFF491NEI	ENCSR448TTC
/experiments/ENCSR448TTC/	mm10-minimal	Mus musculus strain B6NCrl neural tube tissue embryo (11.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	1,2	1_1,1_2,2_1,2_2	peaks	bigBed	Bing Ren, UCSD	/files/ENCFF405MFA/@@download/ENCFF405MFA.bigBed	ENCFF405MFA	ENCSR448TTC
/experiments/ENCSR448TTC/	mm10-minimal	Mus musculus strain B6NCrl neural tube tissue embryo (11.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	1,2	1_1,1_2,2_1,2_2	replicated peaks	bigBed	Bing Ren, UCSD	/files/ENCFF535ERW/@@download/ENCFF535ERW.bigBed	ENCFF535ERW	ENCSR448TTC
/experiments/ENCSR536ILV/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap kidney tissue postnatal (0 days)	ChIP-seq	H3K4me3 (Mus musculus)	1	1_1	peaks	bigBed	Bing Ren, UCSD	/files/ENCFF963HOR/@@download/ENCFF963HOR.bigBed	ENCFF963HOR	ENCSR536ILV
/experiments/ENCSR536ILV/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap kidney tissue postnatal (0 days)	ChIP-seq	H3K4me3 (Mus musculus)	2	2_1	peaks	bigBed	Bing Ren, UCSD	/files/ENCFF376VVD/@@download/ENCFF376VVD.bigBed	ENCFF376VVD	ENCSR536ILV
