ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR316CNR/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap stomach tissue embryo (14.5 days)	ChIP-seq	H3K27ac (Mus musculus)	1	1_1	signal p-value	bigWig	Bing Ren, UCSD	/files/ENCFF768GIL/@@download/ENCFF768GIL.bigWig	ENCFF768GIL	ENCSR316CNR
/experiments/ENCSR316CNR/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap stomach tissue embryo (14.5 days)	ChIP-seq	H3K27ac (Mus musculus)	2	2_1	signal p-value	bigWig	Bing Ren, UCSD	/files/ENCFF385VYX/@@download/ENCFF385VYX.bigWig	ENCFF385VYX	ENCSR316CNR
/experiments/ENCSR316CNR/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap stomach tissue embryo (14.5 days)	ChIP-seq	H3K27ac (Mus musculus)	1,2	1_1,2_1	signal p-value	bigWig	Bing Ren, UCSD	/files/ENCFF851JGE/@@download/ENCFF851JGE.bigWig	ENCFF851JGE	ENCSR316CNR
/experiments/ENCSR316CNR/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap stomach tissue embryo (14.5 days)	ChIP-seq	H3K27ac (Mus musculus)	1	1_1	fold change over control	bigWig	Bing Ren, UCSD	/files/ENCFF742BQO/@@download/ENCFF742BQO.bigWig	ENCFF742BQO	ENCSR316CNR
/experiments/ENCSR316CNR/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap stomach tissue embryo (14.5 days)	ChIP-seq	H3K27ac (Mus musculus)	2	2_1	fold change over control	bigWig	Bing Ren, UCSD	/files/ENCFF343IIU/@@download/ENCFF343IIU.bigWig	ENCFF343IIU	ENCSR316CNR
/experiments/ENCSR316CNR/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap stomach tissue embryo (14.5 days)	ChIP-seq	H3K27ac (Mus musculus)	1,2	1_1,2_1	fold change over control	bigWig	Bing Ren, UCSD	/files/ENCFF359JHR/@@download/ENCFF359JHR.bigWig	ENCFF359JHR	ENCSR316CNR
/experiments/ENCSR548BCO/	mm10-minimal	Mus musculus strain B6NCrl limb tissue embryo (11.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	1	1_1,1_2	signal p-value	bigWig	Bing Ren, UCSD	/files/ENCFF148UBS/@@download/ENCFF148UBS.bigWig	ENCFF148UBS	ENCSR548BCO
/experiments/ENCSR548BCO/	mm10-minimal	Mus musculus strain B6NCrl limb tissue embryo (11.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	2	2_1,2_2	signal p-value	bigWig	Bing Ren, UCSD	/files/ENCFF741LGB/@@download/ENCFF741LGB.bigWig	ENCFF741LGB	ENCSR548BCO
/experiments/ENCSR548BCO/	mm10-minimal	Mus musculus strain B6NCrl limb tissue embryo (11.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	1,2	1_1,1_2,2_1,2_2	signal p-value	bigWig	Bing Ren, UCSD	/files/ENCFF415LZD/@@download/ENCFF415LZD.bigWig	ENCFF415LZD	ENCSR548BCO
/experiments/ENCSR548BCO/	mm10-minimal	Mus musculus strain B6NCrl limb tissue embryo (11.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	1	1_1,1_2	fold change over control	bigWig	Bing Ren, UCSD	/files/ENCFF346HGR/@@download/ENCFF346HGR.bigWig	ENCFF346HGR	ENCSR548BCO
/experiments/ENCSR548BCO/	mm10-minimal	Mus musculus strain B6NCrl limb tissue embryo (11.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	2	2_1,2_2	fold change over control	bigWig	Bing Ren, UCSD	/files/ENCFF452GMZ/@@download/ENCFF452GMZ.bigWig	ENCFF452GMZ	ENCSR548BCO
/experiments/ENCSR548BCO/	mm10-minimal	Mus musculus strain B6NCrl limb tissue embryo (11.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	1,2	1_1,1_2,2_1,2_2	fold change over control	bigWig	Bing Ren, UCSD	/files/ENCFF813EPP/@@download/ENCFF813EPP.bigWig	ENCFF813EPP	ENCSR548BCO
/experiments/ENCSR977DCO/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap neural tube tissue embryo (14.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	1	1_1	signal p-value	bigWig	Bing Ren, UCSD	/files/ENCFF109BJK/@@download/ENCFF109BJK.bigWig	ENCFF109BJK	ENCSR977DCO
/experiments/ENCSR977DCO/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap neural tube tissue embryo (14.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	2	2_1	signal p-value	bigWig	Bing Ren, UCSD	/files/ENCFF465IKG/@@download/ENCFF465IKG.bigWig	ENCFF465IKG	ENCSR977DCO
/experiments/ENCSR977DCO/	mm10-minimal	Mus musculus strain B6NTac;B6NCrl/Lap neural tube tissue embryo (14.5 days)	ChIP-seq	H3K4me1 (Mus musculus)	1,2	1_1,2_1	signal p-value	bigWig	Bing Ren, UCSD	/files/ENCFF421OMC/@@download/ENCFF421OMC.bigWig	ENCFF421OMC	ENCSR977DCO
