ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		2	2_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF996ABH/@@download/ENCFF996ABH.bigWig	ENCFF996ABH	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		2	2_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF419VPD/@@download/ENCFF419VPD.bigWig	ENCFF419VPD	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		2	2_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF477KDR/@@download/ENCFF477KDR.bigWig	ENCFF477KDR	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		2	2_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF198GDI/@@download/ENCFF198GDI.bigWig	ENCFF198GDI	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		2	2_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF156XGF/@@download/ENCFF156XGF.bigWig	ENCFF156XGF	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		1	1_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF490YKX/@@download/ENCFF490YKX.bigWig	ENCFF490YKX	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		1	1_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF124SSA/@@download/ENCFF124SSA.bigWig	ENCFF124SSA	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		2	2_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF359NBO/@@download/ENCFF359NBO.bigWig	ENCFF359NBO	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		1	1_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF029ZMX/@@download/ENCFF029ZMX.bigWig	ENCFF029ZMX	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		1	1_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF964ZUH/@@download/ENCFF964ZUH.bigWig	ENCFF964ZUH	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		1	1_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF937SVH/@@download/ENCFF937SVH.bigWig	ENCFF937SVH	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		2	2_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF546HEA/@@download/ENCFF546HEA.bigWig	ENCFF546HEA	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		1	1_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF105KXL/@@download/ENCFF105KXL.bigWig	ENCFF105KXL	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		1	1_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF418NEK/@@download/ENCFF418NEK.bigWig	ENCFF418NEK	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		1	1_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF401HUN/@@download/ENCFF401HUN.bigWig	ENCFF401HUN	ENCSR000AJV
/experiments/ENCSR000AJV/	mm10-minimal	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	RNA-seq		2	2_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF774FYC/@@download/ENCFF774FYC.bigWig	ENCFF774FYC	ENCSR000AJV
/experiments/ENCSR558PXY/	mm10-minimal	Mus musculus strain C57BL/6J erythroid progenitor cell male adult (5-6 weeks)	RNA-seq		1	1_1	plus strand signal of unique reads	bigWig	Ross Hardison, PennState	/files/ENCFF255DLP/@@download/ENCFF255DLP.bigWig	ENCFF255DLP	ENCSR558PXY
/experiments/ENCSR558PXY/	mm10-minimal	Mus musculus strain C57BL/6J erythroid progenitor cell male adult (5-6 weeks)	RNA-seq		2	2_1	plus strand signal of all reads	bigWig	Ross Hardison, PennState	/files/ENCFF107VMJ/@@download/ENCFF107VMJ.bigWig	ENCFF107VMJ	ENCSR558PXY
/experiments/ENCSR558PXY/	mm10-minimal	Mus musculus strain C57BL/6J erythroid progenitor cell male adult (5-6 weeks)	RNA-seq		1	1_1	plus strand signal of all reads	bigWig	Ross Hardison, PennState	/files/ENCFF401GKE/@@download/ENCFF401GKE.bigWig	ENCFF401GKE	ENCSR558PXY
/experiments/ENCSR558PXY/	mm10-minimal	Mus musculus strain C57BL/6J erythroid progenitor cell male adult (5-6 weeks)	RNA-seq		2	2_1	minus strand signal of unique reads	bigWig	Ross Hardison, PennState	/files/ENCFF399VIH/@@download/ENCFF399VIH.bigWig	ENCFF399VIH	ENCSR558PXY
/experiments/ENCSR558PXY/	mm10-minimal	Mus musculus strain C57BL/6J erythroid progenitor cell male adult (5-6 weeks)	RNA-seq		2	2_1	minus strand signal of all reads	bigWig	Ross Hardison, PennState	/files/ENCFF870DBI/@@download/ENCFF870DBI.bigWig	ENCFF870DBI	ENCSR558PXY
/experiments/ENCSR558PXY/	mm10-minimal	Mus musculus strain C57BL/6J erythroid progenitor cell male adult (5-6 weeks)	RNA-seq		1	1_1	minus strand signal of unique reads	bigWig	Ross Hardison, PennState	/files/ENCFF908RAZ/@@download/ENCFF908RAZ.bigWig	ENCFF908RAZ	ENCSR558PXY
/experiments/ENCSR558PXY/	mm10-minimal	Mus musculus strain C57BL/6J erythroid progenitor cell male adult (5-6 weeks)	RNA-seq		2	2_1	plus strand signal of unique reads	bigWig	Ross Hardison, PennState	/files/ENCFF127IKB/@@download/ENCFF127IKB.bigWig	ENCFF127IKB	ENCSR558PXY
/experiments/ENCSR558PXY/	mm10-minimal	Mus musculus strain C57BL/6J erythroid progenitor cell male adult (5-6 weeks)	RNA-seq		1	1_1	minus strand signal of all reads	bigWig	Ross Hardison, PennState	/files/ENCFF126UMX/@@download/ENCFF126UMX.bigWig	ENCFF126UMX	ENCSR558PXY
