ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		1	1_1	peaks	bigBed	John Stamatoyannopoulos, UW	/files/ENCFF846NSV/@@download/ENCFF846NSV.bigBed	ENCFF846NSV	ENCSR000CNK
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		1	1_1	hotspots	bigBed	John Stamatoyannopoulos, UW	/files/ENCFF671ZUF/@@download/ENCFF671ZUF.bigBed	ENCFF671ZUF	ENCSR000CNK
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		2	2_1	peaks	bigBed	John Stamatoyannopoulos, UW	/files/ENCFF311WGM/@@download/ENCFF311WGM.bigBed	ENCFF311WGM	ENCSR000CNK
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		2	2_1	hotspots	bigBed	John Stamatoyannopoulos, UW	/files/ENCFF646YSH/@@download/ENCFF646YSH.bigBed	ENCFF646YSH	ENCSR000CNK
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		1	1_1	peaks	bigBed	John Stamatoyannopoulos, UW	/files/ENCFF886JSZ/@@download/ENCFF886JSZ.bigBed	ENCFF886JSZ	ENCSR000CNK
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		1	1_1	hotspots	bigBed	John Stamatoyannopoulos, UW	/files/ENCFF616LIS/@@download/ENCFF616LIS.bigBed	ENCFF616LIS	ENCSR000CNK
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		2	2_1	peaks	bigBed	John Stamatoyannopoulos, UW	/files/ENCFF738PAO/@@download/ENCFF738PAO.bigBed	ENCFF738PAO	ENCSR000CNK
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		2	2_1	hotspots	bigBed	John Stamatoyannopoulos, UW	/files/ENCFF664XNU/@@download/ENCFF664XNU.bigBed	ENCFF664XNU	ENCSR000CNK
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		1	1_1	FDR cut rate	bigBed	John Stamatoyannopoulos, UW	/files/ENCFF734XRQ/@@download/ENCFF734XRQ.bigBed	ENCFF734XRQ	ENCSR000CNK
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		2	2_1	footprints	bigBed	John Stamatoyannopoulos, UW	/files/ENCFF539EZC/@@download/ENCFF539EZC.bigBed	ENCFF539EZC	ENCSR000CNK
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		2	2_1	peaks	bigBed	John Stamatoyannopoulos, UW	/files/ENCFF164GJF/@@download/ENCFF164GJF.bigBed	ENCFF164GJF	ENCSR000CNK
