ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR316CNR/	mm10	Mus musculus strain B6NTac;B6NCrl/Lap stomach tissue embryo (14.5 days)	ChIP-seq	H3K27ac (Mus musculus)	1	1_1	fold change over control	bigWig	Bing Ren, UCSD	/files/ENCFF179KNI/@@download/ENCFF179KNI.bigWig	ENCFF179KNI	ENCSR316CNR
/experiments/ENCSR316CNR/	mm10	Mus musculus strain B6NTac;B6NCrl/Lap stomach tissue embryo (14.5 days)	ChIP-seq	H3K27ac (Mus musculus)	1	1_1	signal p-value	bigWig	Bing Ren, UCSD	/files/ENCFF485RPF/@@download/ENCFF485RPF.bigWig	ENCFF485RPF	ENCSR316CNR
/experiments/ENCSR316CNR/	mm10	Mus musculus strain B6NTac;B6NCrl/Lap stomach tissue embryo (14.5 days)	ChIP-seq	H3K27ac (Mus musculus)	1	1_1	fold change over control	bigWig	Bing Ren, UCSD	/files/ENCFF828BFA/@@download/ENCFF828BFA.bigWig	ENCFF828BFA	ENCSR316CNR
/experiments/ENCSR316CNR/	mm10	Mus musculus strain B6NTac;B6NCrl/Lap stomach tissue embryo (14.5 days)	ChIP-seq	H3K27ac (Mus musculus)	2	2_1	signal p-value	bigWig	Bing Ren, UCSD	/files/ENCFF529QLL/@@download/ENCFF529QLL.bigWig	ENCFF529QLL	ENCSR316CNR
/experiments/ENCSR316CNR/	mm10	Mus musculus strain B6NTac;B6NCrl/Lap stomach tissue embryo (14.5 days)	ChIP-seq	H3K27ac (Mus musculus)	1,2	1_1,2_1	signal p-value	bigWig	Bing Ren, UCSD	/files/ENCFF501GNQ/@@download/ENCFF501GNQ.bigWig	ENCFF501GNQ	ENCSR316CNR
/experiments/ENCSR316CNR/	mm10	Mus musculus strain B6NTac;B6NCrl/Lap stomach tissue embryo (14.5 days)	ChIP-seq	H3K27ac (Mus musculus)	2	2_1	fold change over control	bigWig	Bing Ren, UCSD	/files/ENCFF081QRN/@@download/ENCFF081QRN.bigWig	ENCFF081QRN	ENCSR316CNR
/experiments/ENCSR316CNR/	mm10	Mus musculus strain B6NTac;B6NCrl/Lap stomach tissue embryo (14.5 days)	ChIP-seq	H3K27ac (Mus musculus)	1,2	1_1,2_1	fold change over control	bigWig	Bing Ren, UCSD	/files/ENCFF036PPT/@@download/ENCFF036PPT.bigWig	ENCFF036PPT	ENCSR316CNR
/experiments/ENCSR316CNR/	mm10	Mus musculus strain B6NTac;B6NCrl/Lap stomach tissue embryo (14.5 days)	ChIP-seq	H3K27ac (Mus musculus)	1	1_1	signal p-value	bigWig	Bing Ren, UCSD	/files/ENCFF949LDF/@@download/ENCFF949LDF.bigWig	ENCFF949LDF	ENCSR316CNR
/experiments/ENCSR316CNR/	mm10	Mus musculus strain B6NTac;B6NCrl/Lap stomach tissue embryo (14.5 days)	ChIP-seq	H3K27ac (Mus musculus)	2	2_1	signal p-value	bigWig	Bing Ren, UCSD	/files/ENCFF087VQP/@@download/ENCFF087VQP.bigWig	ENCFF087VQP	ENCSR316CNR
/experiments/ENCSR316CNR/	mm10	Mus musculus strain B6NTac;B6NCrl/Lap stomach tissue embryo (14.5 days)	ChIP-seq	H3K27ac (Mus musculus)	2	2_1	fold change over control	bigWig	Bing Ren, UCSD	/files/ENCFF500NMY/@@download/ENCFF500NMY.bigWig	ENCFF500NMY	ENCSR316CNR
