ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		1	1_1	read-depth normalized signal	bigWig	John Stamatoyannopoulos, UW	/files/ENCFF167OJP/@@download/ENCFF167OJP.bigWig	ENCFF167OJP	ENCSR000CNK
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		2	2_1	read-depth normalized signal	bigWig	John Stamatoyannopoulos, UW	/files/ENCFF017VMJ/@@download/ENCFF017VMJ.bigWig	ENCFF017VMJ	ENCSR000CNK
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		1	1_1	read-depth normalized signal	bigWig	John Stamatoyannopoulos, UW	/files/ENCFF906XJY/@@download/ENCFF906XJY.bigWig	ENCFF906XJY	ENCSR000CNK
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		2	2_1	read-depth normalized signal	bigWig	John Stamatoyannopoulos, UW	/files/ENCFF852JKE/@@download/ENCFF852JKE.bigWig	ENCFF852JKE	ENCSR000CNK
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		1	1_1	read-depth normalized signal	bigWig	John Stamatoyannopoulos, UW	/files/ENCFF050NJX/@@download/ENCFF050NJX.bigWig	ENCFF050NJX	ENCSR000CNK
/experiments/ENCSR000CNK/	mm10	Mus musculus strain 129.DLCR/DLCR liver tissue male embryo (14.5 days)	DNase-seq		2	2_1	read-depth normalized signal	bigWig	John Stamatoyannopoulos, UW	/files/ENCFF516XJH/@@download/ENCFF516XJH.bigWig	ENCFF516XJH	ENCSR000CNK
/experiments/ENCSR000CWF/	mm10	Mus musculus strain MEL MEL treated with 2% dimethyl sulfoxide for 5 days	RNA-seq		1	1_1	plus strand signal of unique reads	bigWig	Michael Snyder, Stanford	/files/ENCFF107FIC/@@download/ENCFF107FIC.bigWig	ENCFF107FIC	ENCSR000CWF
/experiments/ENCSR000CWF/	mm10	Mus musculus strain MEL MEL treated with 2% dimethyl sulfoxide for 5 days	RNA-seq		2	2_1	plus strand signal of all reads	bigWig	Michael Snyder, Stanford	/files/ENCFF695MDJ/@@download/ENCFF695MDJ.bigWig	ENCFF695MDJ	ENCSR000CWF
/experiments/ENCSR000CWF/	mm10	Mus musculus strain MEL MEL treated with 2% dimethyl sulfoxide for 5 days	RNA-seq		1	1_1	plus strand signal of all reads	bigWig	Michael Snyder, Stanford	/files/ENCFF494KJX/@@download/ENCFF494KJX.bigWig	ENCFF494KJX	ENCSR000CWF
/experiments/ENCSR000CWF/	mm10	Mus musculus strain MEL MEL treated with 2% dimethyl sulfoxide for 5 days	RNA-seq		2	2_1	minus strand signal of unique reads	bigWig	Michael Snyder, Stanford	/files/ENCFF907GZF/@@download/ENCFF907GZF.bigWig	ENCFF907GZF	ENCSR000CWF
