ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR481HGA/	mm9	Mus musculus strain B10.H-2aH-4bp/Wts CH12F3 genetically modified (mutagenesis) using CRISPR targeting M. musculus Ctcf	HiC		1,2,3,4,5,6,7,8,9	1_1,1_2,2_1,2_2,3_1,4_1,4_2,5_1,5_2,6_1,6_2,6_3,6_4,6_5,6_6,7_1,7_2,7_3,7_4,7_5,8_1,8_2,9_1,9_2	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF032ORT/@@download/ENCFF032ORT.hic	ENCFF032ORT	ENCSR481HGA
/experiments/ENCSR481HGA/	mm9	Mus musculus strain B10.H-2aH-4bp/Wts CH12F3 genetically modified (mutagenesis) using CRISPR targeting M. musculus Ctcf	HiC		1,2,3,4,5,6,7,8,9	1_1,1_2,2_1,2_2,3_1,4_1,4_2,5_1,5_2,6_1,6_2,6_3,6_4,6_5,6_6,7_1,7_2,7_3,7_4,7_5,8_1,8_2,9_1,9_2	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF465ESX/@@download/ENCFF465ESX.hic	ENCFF465ESX	ENCSR481HGA
/experiments/ENCSR549VZT/	mm9	Mus musculus strain B10.H-2aH-4bp/Wts CH12F3	HiC		1,2	1_1,1_2,1_3,1_4,2_1,2_2	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF374WHB/@@download/ENCFF374WHB.hic	ENCFF374WHB	ENCSR549VZT
/experiments/ENCSR549VZT/	mm9	Mus musculus strain B10.H-2aH-4bp/Wts CH12F3	HiC		1,2	1_1,1_2,1_3,1_4,2_1,2_2	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF759YCW/@@download/ENCFF759YCW.hic	ENCFF759YCW	ENCSR549VZT
/experiments/ENCSR368TIW/	mm9	Mus musculus strain RosaCreERTam/Myc flox/flox mature B cell treated with 1 mg tamoxifen for 96 hours, 1 mg tamoxifen for 72 hours, 1 mg tamoxifen for 24 hours, 50 μg/mL lipopolysaccharide for 72 hours, 5 ng/mL Interleukin-4 for 72 hours, 500 ng/mL anti-CD180 for 72 hours	HiC		1,2,3,4,5,6,7	1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,2_6,3_1,3_2,3_3,3_4,3_5,3_6,4_1,4_2,4_3,4_4,4_5,4_6,5_1,6_1,7_1	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF064KDH/@@download/ENCFF064KDH.hic	ENCFF064KDH	ENCSR368TIW
/experiments/ENCSR368TIW/	mm9	Mus musculus strain RosaCreERTam/Myc flox/flox mature B cell treated with 1 mg tamoxifen for 96 hours, 1 mg tamoxifen for 72 hours, 1 mg tamoxifen for 24 hours, 50 μg/mL lipopolysaccharide for 72 hours, 5 ng/mL Interleukin-4 for 72 hours, 500 ng/mL anti-CD180 for 72 hours	HiC		1,2,3,4,5,6,7	1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,2_6,3_1,3_2,3_3,3_4,3_5,3_6,4_1,4_2,4_3,4_4,4_5,4_6,5_1,6_1,7_1	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF045YOM/@@download/ENCFF045YOM.hic	ENCFF045YOM	ENCSR368TIW
/experiments/ENCSR012UKZ/	mm9	Mus musculus strain C57BL/6J mature B cell treated with 22.7 ng/mL trichostatin A for 4 hours	HiC		1,2,3	1_1,1_2,2_1,2_2,3_1,3_2	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF882HKC/@@download/ENCFF882HKC.hic	ENCFF882HKC	ENCSR012UKZ
/experiments/ENCSR012UKZ/	mm9	Mus musculus strain C57BL/6J mature B cell treated with 22.7 ng/mL trichostatin A for 4 hours	HiC		1,2,3	1_1,1_2,2_1,2_2,3_1,3_2	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF991SGJ/@@download/ENCFF991SGJ.hic	ENCFF991SGJ	ENCSR012UKZ
/experiments/ENCSR005UON/	mm9	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	HiC		1,2,3	1_1,1_10,1_11,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_1,2_2,3_1,3_2	contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF182GXX/@@download/ENCFF182GXX.hic	ENCFF182GXX	ENCSR005UON
/experiments/ENCSR005UON/	mm9	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	HiC		1,2,3	1_1,1_10,1_11,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_1,2_2,3_1,3_2	mapping quality thresholded contact matrix	hic	Erez Aiden, Baylor	/files/ENCFF304AVD/@@download/ENCFF304AVD.hic	ENCFF304AVD	ENCSR005UON
