# Hosted genomes list.  Tab delimited file with 3 columns  Name (for menu),  url to .genome or .json file,  and genome ID. 
C. elegans (ce11)	https://raw.githubusercontent.com/igvteam/igv-data/refs/heads/main/genomes/legacy/json/ce11.json	ce11
D. melanogaster (dm6)	https://raw.githubusercontent.com/igvteam/igv-data/refs/heads/main/genomes/legacy/json/dm6.json	dm6
Human (hg19)	https://raw.githubusercontent.com/igvteam/igv-data/refs/heads/main/genomes/legacy/json/hg19.json	hg19
Human (hg38)	https://raw.githubusercontent.com/igvteam/igv-data/refs/heads/main/genomes/legacy/json/hg38.json	hg38
Human (hg38 1kg/GATK)	https://raw.githubusercontent.com/igvteam/igv-data/refs/heads/main/genomes/legacy/json/hg38_1kg.json	hg38_1kg
Mouse mm10	https://raw.githubusercontent.com/igvteam/igv-data/refs/heads/main/genomes/legacy/json/mm10.json	mm10
S. cerevisiae (sacCer3)	https://raw.githubusercontent.com/igvteam/igv-data/refs/heads/main/genomes/legacy/json/sacCer3.json	sacCer3
Zebrafish (GRCz11/danRer11)	https://raw.githubusercontent.com/igvteam/igv-data/refs/heads/main/genomes/legacy/json/danRer11.json	danRer11
SARS-CoV-2	https://raw.githubusercontent.com/igvteam/igv-data/refs/heads/main/genomes/legacy/json/ASM985889v3.json	ASM985889v3
S. pombe (ASM294v2)	https://raw.githubusercontent.com/igvteam/igv-data/refs/heads/main/genomes/legacy/json/ASM294v2.json	ASM294v2
E. coli K-12 (NC_000913.3)	https://raw.githubusercontent.com/igvteam/igv-data/refs/heads/main/genomes/gbk/NC_000913.3.gbk	NC_000913.3
Francisella tularensis (NC_008601)	https://raw.githubusercontent.com/igvteam/igv-data/refs/heads/main/genomes/gbk/NC_008601.gbk	NC_008601
Human Mito (NC_012920)	https://raw.githubusercontent.com/igvteam/igv-data/refs/heads/main/genomes/gbk/NC_012920.1.gbk	NC_012920
